	sourceLang	targetLang	BLEUscore	precisions	brevityPenalty	ratio
0	en	om	9.061233347396213	[36.40322608741094, 12.524635217965177, 5.548142161745635, 2.6649969671473577]	1.0	1.1496115027234861
1	en	ps	26.092044078425804	[58.94805659760596, 32.483143716910995, 20.3404226970671, 13.452876102376473]	0.969800576834763	0.9702475344720826
2	en	es-419	56.86263097869629	[81.3730211747891, 64.15712473301322, 52.595190214229916, 43.63085295079991]	0.9665196404108339	0.96706780246691
3	en	lg	19.710106584413683	[47.80602153688375, 24.584793539539845, 14.39171494325847, 8.922656508777742]	1.0	1.033246920354987
4	en	ti	6.404423964134684	[31.81868435599779, 9.486376811594203, 3.6879951249238268, 1.6775420027744952]	0.9742456854052044	0.9745717056351686
5	en	ru	36.70641941860473	[66.27357584604157, 44.94256094144018, 32.98374629173108, 24.699558624306253]	0.9300261804979265	0.9323639489282453
6	en	tl	48.45522792177674	[76.65108296839863, 55.179258535393636, 42.14727410398788, 32.854206095412124]	0.9849790301639499	0.9850907236027108
7	en	ta	21.53352332587753	[59.39863202329624, 31.92729685537572, 19.33215292151924, 12.260526315789473]	0.8316356782450451	0.8443372850989213
8	en	ckb	10.660702865156164	[41.440022057230635, 15.060500852558704, 6.603976126068101, 3.1338518951485996]	1.0	1.0054851485148515
9	en	so	9.492346930460446	[31.28361703474024, 11.493651001439979, 6.256354639734291, 3.7109924093337083]	0.9930634659222638	0.9930874128071389
10	en	ha	25.87093592330531	[53.885522080784064, 30.89541525854592, 19.91539815358014, 13.511184861346013]	1.0	1.0727572477292522
11	en	ar	29.14923007591779	[56.86278274895349, 35.131457841450235, 23.17139395964744, 15.596670962668473]	1.0	1.0143945148912132
12	en	zh	44.67222747963412	[74.93164698223751, 51.756508274460465, 38.769292847775645, 29.810811949606034]	0.9708779216819029	0.9712938541026845
13	en	hi	46.00038403510263	[73.23673212528037, 52.83182736792878, 39.81271528222526, 30.42408348750741]	0.988656632800368	0.9887204850031908
14	en	ti	6.640757100554599	[33.567716970702044, 10.362898550724637, 4.058500914076783, 1.8702152802753944]	0.9264084766467149	0.9289881270284704
15	en	mr	16.75198447745607	[49.40243902439025, 23.112526539278132, 11.964444444444444, 6.601398601398602]	0.9666854567753441	0.9672282619379952
16	en	bn	22.954532753304537	[56.064063817101506, 30.587249403725906, 18.047210783320956, 11.10323814922412]	0.9480849899217	0.9493871018113679
17	en	km	18.14188385165628	[39.38181146481128, 21.554345520118805, 13.8422475223196, 9.219182000190676]	1.0	1.0364390555201022
18	en	ln	15.076076786152882	[48.520019651191355, 19.96319563424075, 9.974399369830643, 5.347066421918553]	1.0	1.0657765560573336
19	en	ur	28.14125563728262	[60.52469040486705, 35.078676071622354, 21.921336811862226, 13.938968902877082]	0.9915739475981218	0.991609248200888
20	en	ne	25.441182272235014	[57.971014492753625, 32.60164738871364, 19.279875080371085, 11.875120633082416]	0.9919484802925547	0.9919807204886358
21	en	fa	29.19657533226035	[62.623302724159664, 36.25457179709172, 22.97741160063857, 14.995133309158922]	0.9817352097935671	0.9818999983271718
22	en	my	8.153096955016897	[30.089378046978876, 12.628122998078155, 6.472180976504498, 3.6626875689150964]	0.8368969239408509	0.8488572593033827
23	en	pt-BR	52.27460896819753	[79.50938673341678, 60.5724167747514, 48.15971287572903, 38.821445221445224]	0.9542860372108398	0.9552997816002168
24	en	ti-er	6.128610005034018	[31.827529021558874, 9.864347826086956, 3.8610603290676417, 1.716076658274675]	0.9074722278815134	0.9115003224766205
25	en	zu	19.59782792320774	[48.60113203188171, 25.2810489255797, 14.465907637200973, 8.599156574394463]	0.9911678015349055	0.9912065767478073
26	en	fr	34.1375972523896	[54.134426313235785, 38.27967146868194, 29.144067567932215, 22.487433697131273]	1.0	1.2112092296747654
27	en	ms	53.33342834320424	[79.43159184924161, 60.10655279750978, 46.740669776741086, 36.83901036675669]	0.9960244700782962	0.9960323515946895
28	en	id	55.07037339135811	[80.21567412684891, 61.567646109137875, 49.00952541515637, 39.34115364261775]	0.9913640758034208	0.9914011516314779
29	en	am	11.88180696893763	[38.94002789400279, 16.81329423264907, 8.147861926841834, 4.3106500013615445]	0.9648806987008031	0.9654831904484044
30	en	sw	33.87662127278525	[66.11819720472509, 41.326909492673565, 27.894409820941046, 19.23076923076923]	0.9736057886809598	0.9739480660730065
