	sourceLang	targetLang	BLEUscore	precisions	brevityPenalty	ratio
0	en	ln	32.06727238346354	[61.54403113403928, 36.96295603950525, 25.335781234901923, 18.346834683468348]	1.0	1.0847241311604163
1	en	sw	33.0986968380675	[65.77052160536988, 40.52224722363359, 27.1506187745246, 18.595926064153687]	0.9718076364782852	0.9721976752090272
2	en	prs	17.321176063415514	[51.74645076135595, 23.271582314330455, 11.965266029071573, 6.369791853258338]	0.9951507072153385	0.9951624271160376
3	en	id	54.388575871623054	[79.77854349761895, 61.02142943621615, 48.257406548948545, 38.5444684509899]	0.9914802267787571	0.9915163147792706
4	en	km	2.1797838738652078	[6.9837056698370565, 2.7071444875599178, 1.4676996087181986, 0.8136154733098397]	1.0	4.32769623484365
5	en	bn	19.29126043726375	[51.39325888909453, 26.109570786854945, 14.700519954081978, 8.69893921137808]	0.947838583926427	0.9491528732042473
6	en	fr	45.60734068984267	[67.43022401762762, 50.07114399544678, 39.84170591313448, 32.16317821580979]	1.0	1.0106865034564885
7	en	ti-er	3.393649596387663	[24.618473028687376, 5.761186605467248, 1.8016948750207706, 0.6895173378634956]	0.9314662551924136	0.9337108997097711
8	en	ar	30.25851277105401	[57.537293400314454, 36.16494186278819, 24.277432539517037, 16.59397217254765]	1.0	1.0158748709558036
9	en	ta	24.16636318493416	[58.089627603618766, 32.859344045784724, 20.415416570505425, 13.259762308998303]	0.9013603111968134	0.9059200243967522
10	en	ps	21.117097858389407	[54.10999862003404, 26.85086899348849, 15.493534800635867, 9.389161391062306]	0.9848745981972473	0.9849878422666244
11	en	es-419	56.05830717462934	[80.88153072000993, 63.352491651682506, 51.65813783478434, 42.7007299270073]	0.9668146041879595	0.9673532549090308
12	en	am	8.665690019446718	[32.54003858059306, 12.113365660750436, 5.386063097419642, 2.656184705390723]	1.0	1.0005386238161498
13	en	so	18.95741794211637	[37.71971216232158, 20.532290461987948, 14.865757042253522, 11.218219650172314]	1.0	1.065418211525168
14	en	zh	42.38047512172289	[73.33666463087373, 49.3481986405561, 36.16278369754982, 27.181882934595887]	0.9758484097562924	0.9761354193012248
15	en	hi	43.24473505609731	[70.61917475340123, 49.71960761608575, 36.6077702181625, 27.434178947929816]	0.9979398079656677	0.9979419272495214
16	en	mr	15.5249138790094	[48.03514017160526, 21.96520659919115, 11.052360361167747, 5.884704001504678]	0.9592033704626713	0.9600133681954902
17	en	ms	51.06487767437589	[78.08824373171151, 57.98513559288262, 44.269761058082224, 34.27925283232218]	0.9973832754586468	0.997386693117656
18	en	ti	3.834884929932969	[23.571567336542405, 5.645872430868022, 1.9726066418211599, 0.8294194064155092]	0.9983177332185358	0.9983191466436806
19	en	ha	15.982914278994132	[45.59160048458743, 20.427417735983077, 10.982908028917509, 6.379817059076049]	1.0	1.0398936170212767
20	en	ur	23.495852365235333	[54.28264124067964, 29.708700019489964, 17.6978684540487, 10.678229148333626]	1.0	1.053452763742153
21	en	pt-BR	52.420836655705564	[78.77145438121048, 59.766947350514585, 47.430537179147926, 38.17165888064486]	0.970167437990312	0.9706037080138373
22	en	ne	16.71156923120983	[47.63346117964134, 22.60756475560854, 11.583967298739639, 6.2523845860358644]	1.0	1.0020983088876885
23	en	ru	36.88107966423873	[65.40965714500771, 44.1753849770777, 32.38935883290426, 24.22612185645361]	0.9504439492047327	0.9516322547141092
24	en	fa	27.376177215734934	[59.891203396576884, 33.749742250326484, 20.871363377067883, 13.313949181420845]	1.0	1.0086485220562404
25	en	zu	19.756319254511837	[48.54326345922985, 25.402756211180126, 14.615502607628592, 8.732881337619188]	0.9918837028385645	0.9919164624791041
26	en	ti	3.8347475216580236	[24.935782588986985, 6.041558324100662, 2.077052721532509, 0.8469071649845108]	0.9504361573943066	0.9516248305328459
27	en	my	1.8717639368612593	[10.391890479673947, 2.5030057929828398, 1.0011454753722795, 0.47135779904766484]	1.0	1.499984324544628
