	targetLang	system score
0	sw	0.8119305992694128
1	id	0.9156265129078002
2	bn	0.846481271130698
3	fr	0.8138798729010991
4	ar	0.8450060131578219
5	ps	0.7827755810249419
6	es-LA	0.8858394256376085
7	am	0.8390430835457076
8	so	0.7188945012858936
9	zh	0.8823702050106866
10	hi	0.7908464962385949
11	mr	0.7255396005369368
12	ms	0.8963580137207394
13	ur	0.8062484032057581
14	pt-BR	0.8978207918575832
15	ne	0.8012746234025274
16	ru	0.884341720314253
17	fa	0.8577607368003755
