	sourceLang	targetLang	BLEUscore	precisions	brevityPenalty	ratio
0	en	ln	15.650845800732874	[52.5, 28.571428571428573, 10.0, 4.0]	1.0	1.0
1	en	fr	34.83720661459804	[67.3913043478261, 41.46341463414634, 27.77777777777778, 22.580645161290324]	0.9574533680683809	0.9583333333333334
2	en	ckb	3.7994340185875517	[35.294117647058826, 3.4482758620689653, 2.0833333333333335, 1.3157894736842106]	0.8890097654027757	0.8947368421052632
3	en	ar	8.959483976960282	[38.70967741935484, 15.384615384615385, 4.761904761904762, 2.9411764705882355]	0.9375209928337671	0.9393939393939394
4	en	lg	12.061816305304456	[55.55555555555556, 19.35483870967742, 11.538461538461538, 2.380952380952381]	0.9200444146293233	0.9230769230769231
5	en	zu	32.38191032057599	[59.375, 40.74074074074074, 27.272727272727273, 16.666666666666668]	1.0	1.0
6	en	ur	32.40344385599467	[72.0, 42.22222222222222, 27.5, 14.285714285714286]	0.9801986733067553	0.9803921568627451
7	en	ti-er	3.565909019384535	[30.555555555555557, 3.225806451612903, 1.9230769230769231, 1.1904761904761905]	0.9200444146293233	0.9230769230769231
8	en	ru	8.99113763349617	[55.26315789473684, 24.242424242424242, 7.142857142857143, 2.1739130434782608]	0.7486574941646674	0.7755102040816326
9	en	sw	13.79765809600724	[65.0, 34.285714285714285, 10.0, 4.0]	0.798516218759377	0.8163265306122449
10	en	bn	14.748027700481149	[66.66666666666667, 32.25806451612903, 11.538461538461538, 2.380952380952381]	0.9459594689067654	0.9473684210526315
11	en	km	0.0	[25.0, 16.666666666666668, 0.0, 0.0]	0.8824969025845955	0.8888888888888888
12	en	ne	8.865770500382261	[51.21951219512195, 19.444444444444443, 3.225806451612903, 1.9230769230769231]	1.0	1.1081081081081081
13	en	ps	16.975120232819133	[57.4468085106383, 26.19047619047619, 13.513513513513514, 6.25]	0.8990802535245078	0.9038461538461539
14	en	zh	9.860998085503823	[51.351351351351354, 21.875, 3.7037037037037037, 2.272727272727273]	1.0	1.0
15	en	id	49.50953585380101	[82.05128205128206, 58.8235294117647, 41.37931034482759, 33.333333333333336]	0.9746849137081522	0.975
16	en	ha	26.04414876460982	[73.33333333333333, 45.0, 22.857142857142858, 6.666666666666667]	0.9780228724846006	0.9782608695652174
17	en	hi	45.56172491404572	[82.3529411764706, 56.52173913043478, 41.46341463414634, 30.555555555555557]	0.9245655083284784	0.9272727272727272
18	en	mr	17.54880992074227	[62.16216216216216, 28.125, 14.814814814814815, 4.545454545454546]	0.9473808953395989	0.9487179487179487
19	en	am	31.381938488945075	[59.375, 37.03703703703704, 27.272727272727273, 23.529411764705884]	0.9105103613800342	0.9142857142857143
20	en	tl	57.501238066686625	[86.66666666666667, 67.5, 57.142857142857146, 46.666666666666664]	0.9149472287300311	0.9183673469387755
21	en	pt-BR	40.80771076176848	[69.56521739130434, 46.34146341463415, 33.333333333333336, 25.806451612903224]	1.0	1.0
22	en	ms	34.42507340257256	[78.94736842105263, 48.484848484848484, 32.142857142857146, 17.391304347826086]	0.9000876262522591	0.9047619047619048
23	en	ti	1.9470981133495435	[19.444444444444443, 1.6129032258064515, 0.9615384615384616, 0.5952380952380952]	0.9459594689067654	0.9473684210526315
24	en	ta	13.559244751093612	[64.51612903225806, 23.076923076923077, 9.523809523809524, 5.882352941176471]	0.7978725136602237	0.8157894736842105
25	en	so	6.14059402869868	[34.61538461538461, 12.76595744680851, 2.380952380952381, 1.3513513513513513]	1.0	1.3
26	en	my	2.7859991939422866	[16.666666666666668, 3.8461538461538463, 2.7777777777777777, 2.5]	0.6065306597126334	0.6666666666666666
27	en	om	4.902399840013916	[19.148936170212767, 7.142857142857143, 2.7027027027027026, 1.5625]	1.0	1.46875
28	en	fa	28.712095677910114	[70.45454545454545, 41.02564102564103, 23.529411764705884, 17.24137931034483]	0.8725252928694237	0.88
