	targetLang	system score
0	am	0.8619591474533081
1	ar	0.7989747524261475
2	bn	0.8415764093399047
3	es-LA	0.7905979990959168
4	fa	0.7939458012580871
5	fr	0.7820678591728211
6	hi	0.7682777404785156
7	id	0.8817802786827087
8	mr	0.7215449631214141
9	ms	0.8579239010810852
10	ne	0.7988477349281311
11	ps	0.7321385502815246
12	pt-BR	0.8394002079963684
13	ru	0.79892019033432
14	so	0.7450804948806763
15	sw	0.7048549473285675
16	ur	0.8415599584579467
17	zh	0.825941801071167
